st,yr,September,October,November,December,January,February,March,April,May,June,July,August,AVG,STDDEV
Maulvibazar,2011,0.7128,0.6064,0.49781,0.45405,0.49661,0.53452,0.5728,0.53558,0.37965,0.50096,0.60979,0.66976,0.5475608333333334,0.08883638935878449
Maulvibazar,2012,0.70816,0.57717,0.50238,0.44221,0.41738,0.44588,0.54278,0.50684,0.47797,0.52044,0.60314,0.7009,0.5371041666666666,0.0911245711885963
Maulvibazar,2013,0.74579,0.64497,0.50826,0.48804,0.47437,0.52192,0.54167,0.47754,0.4529,0.48568,0.57813,0.70636,0.5521358333333334,0.09287670836996156
Maulvibazar,2014,0.72573,0.62603,0.52229,0.48127,0.49594,0.51839,0.54749,0.53281,0.54597,0.55623,0.43775,0.71347,0.5586141666666666,0.08409510166653916
Maulvibazar,2015,0.7022,0.61492,0.53377,0.45191,0.48199,0.51048,0.55529,0.54123,0.43675,0.47945,0.46669,0.71974,0.5412016666666667,0.08952781484296128
Maulvibazar,2016,0.72007,0.58929,0.54471,0.52436,0.52777,0.59079,0.55725,0.53248,0.42908,0.45103,0.55012,0.70706,0.5603341666666667,0.08239813807143272
Maulvibazar,2017,0.70958,0.6466,0.56703,0.49158,0.52032,0.58288,0.56503,0.58462,0.36642,0.46948,0.44732,0.68238,0.55277,0.09576331700256278
Maulvibazar,2018,0.72547,0.67544,0.58002,0.52858,0.54272,0.60656,0.6072,0.50273,0.42412,0.52486,0.57207,0.7026,0.5826975000000001,0.08369855485859158
Maulvibazar,2019,0.74131,0.68226,0.55829,0.50331,0.54731,0.60226,0.62641,0.5841,0.50891,0.47206,0.64153,0.73765,0.60045,0.08509377709327517
Chittagong,2011,0.57397,0.64203,0.48687,0.52991,0.48179,0.62527,0.49226,0.58435,0.50454,0.5425,0.66563,0.74793,0.5730875,0.08341470626
Chittagong,2012,0.55884,0.73782,0.47866,0.51091,0.43194,0.56528,0.46006,0.6083,0.53974,0.55752,0.63741,0.71702,0.5669583333,0.09528838667
Chittagong,2013,0.54967,0.74263,0.50783,0.5057,0.46126,0.49776,0.55568,0.55953,0.56797,0.5473,0.69015,0.76486,0.579195,0.09884928376
Chittagong,2014,0.5665,0.74212,0.51293,0.53554,0.51118,0.53627,0.56399,0.53026,0.52545,0.56304,0.68288,0.7623,0.5860383333,0.08993053115
Chittagong,2015,0.62469,0.72449,0.54981,0.52364,0.49411,0.55492,0.46438,0.6093,0.56872,0.58362,0.70269,0.74408,0.5953708333,0.08968393486
Chittagong,2016,0.59837,0.72476,0.56044,0.60432,0.5333,0.60397,0.53962,0.57941,0.53972,0.59859,0.65562,0.74404,0.6068466667,0.06915066835
Chittagong,2017,0.63698,0.70066,0.57627,0.61591,0.51294,0.56798,0.46825,0.64042,0.4951,0.61499,0.72281,0.75562,0.6089941667,0.09018698258
Chittagong,2018,0.60374,0.73488,0.54418,0.56756,0.52643,0.61183,0.60132,0.59491,0.47022,0.60473,0.69811,0.76645,0.6103633333,0.08573881272
Chittagong,2019,0.59022,0.77512,0.59944,0.59949,0.50917,0.621,0.54514,0.63089,0.58421,0.60169,0.70546,0.78176,0.6286325,0.08420266991
Kushtia,2011,0.53666,0.47034,0.39638,0.47481,0.48673,0.48155,0.4442,0.49889,0.47356,0.38034,0.38179,0.5156,0.46173749999999997,0.04906883398604453
Kushtia,2012,0.61276,0.50123,0.41958,0.43136,0.4729,0.42563,0.42574,0.41438,0.45937,0.48078,0.52349,0.57254,0.47831333333333337,0.06137052377883774
Kushtia,2013,0.64845,0.46105,0.41956,0.49386,0.50898,0.45326,0.44431,0.53444,0.48808,0.43658,0.46114,0.61598,0.49714083333333337,0.0680949708689187
Kushtia,2014,0.64707,0.4755,0.42406,0.5075,0.53422,0.46947,0.41786,0.50217,0.50368,0.47458,0.42784,0.66739,0.5042783333333333,0.07668892421479274
Kushtia,2015,0.64499,0.48545,0.40548,0.50792,0.52578,0.47045,0.46064,0.56247,0.50379,0.45671,0.44408,0.67495,0.5118925,0.07699883074058117
Kushtia,2016,0.61444,0.43822,0.40166,0.51284,0.5362,0.45692,0.41825,0.52759,0.56101,0.4149,0.42504,0.60191,0.49241500000000005,0.0728228405675948
Kushtia,2017,0.69893,0.50894,0.46098,0.48251,0.52434,0.47974,0.4701,0.60474,0.52612,0.40923,0.48093,0.63072,0.5231066666666667,0.07869494046986476
Kushtia,2018,0.65096,0.51743,0.4642,0.51897,0.52775,0.54007,0.51005,0.50971,0.54964,0.38961,0.44915,0.67231,0.5249875,0.07457614666958418
Kushtia,2019,0.66627,0.53674,0.46311,0.55471,0.52771,0.53533,0.54813,0.58655,0.56034,0.4946,0.51227,0.67682,0.555215,0.060328707442366666
Jessore,2011,0.62669,0.54421,0.44501,0.42326,0.48681,0.64582,0.57888,0.42746,0.38052,0.41298,0.48516,0.63423,0.5075858333333333,0.09093710889568433
Jessore,2012,0.67255,0.54752,0.47405,0.42421,0.46312,0.58969,0.55562,0.43391,0.4285,0.44251,0.51921,0.70207,0.5210800000000001,0.09110495083510371
Jessore,2013,0.71737,0.52382,0.47779,0.4593,0.44123,0.60721,0.64008,0.47358,0.50359,0.48348,0.53795,0.75715,0.5518791666666668,0.10032860654355875
Jessore,2014,0.70578,0.54202,0.43622,0.44825,0.50135,0.65689,0.54737,0.44151,0.43402,0.43264,0.54353,0.74015,0.5358108333333332,0.10575402092106105
Jessore,2015,0.6783,0.53848,0.44572,0.43869,0.54446,0.64783,0.57385,0.53307,0.46257,0.41948,0.55029,0.74127,0.5478341666666667,0.09640287214413731
Jessore,2016,0.63347,0.51919,0.48005,0.43399,0.5513,0.65083,0.45282,0.54878,0.55281,0.4285,0.4931,0.63498,0.5316516666666666,0.07476132008301857
Jessore,2017,0.71423,0.56803,0.49901,0.45962,0.54111,0.66303,0.55793,0.5705,0.49318,0.41134,0.56172,0.70901,0.5623925,0.09010956480169019
Jessore,2018,0.72177,0.56395,0.46287,0.44287,0.53173,0.6848,0.55509,0.5097,0.53889,0.46445,0.54948,0.75482,0.5650350000000001,0.0981512280870698
