st,yr,mn,max_temp,min_temp,rain,rel_hum,wind,cloud,sun
Barisal,2013,1,28.7,10.6,0.0,80.0,1.4,0.3,7.1
Barisal,2013,2,32.3,14.8,6.0,76.0,1.3,1.6,7.7
Barisal,2013,3,36.2,21.0,5.0,76.0,1.9,1.8,8.6
Barisal,2013,4,36.2,24.0,64.0,76.0,2.5,3.5,8.2
Barisal,2013,5,37.5,24.8,701.0,87.0,4.1,6.9,3.8
Barisal,2013,6,36.0,26.8,277.0,85.0,2.4,5.7,5.7
Barisal,2013,7,33.0,26.5,377.0,87.0,3.1,6.4,4.7
Barisal,2013,8,34.0,26.2,398.0,88.0,2.5,6.4,4.0
Barisal,2013,9,35.0,26.0,312.0,88.0,2.0,5.7,4.2
Barisal,2013,10,34.2,24.4,181.0,88.0,1.9,4.7,4.9
Barisal,2013,11,32.2,17.7,0.0,81.0,1.0,0.9,8.5
Barisal,2013,12,29.5,14.2,0.0,82.0,1.0,0.5,6.7
Bhola,2013,1,29.6,10.9,0.0,78.0,1.2,0.6,6.0
Bhola,2013,2,32.5,15.3,9.0,74.0,1.5,1.9,7.4
Bhola,2013,3,35.6,21.1,0.0,74.0,1.3,1.6,7.2
Bhola,2013,4,36.3,24.3,28.0,76.0,1.6,3.1,6.5
Bhola,2013,5,36.0,24.6,655.0,86.0,3.1,6.1,2.6
Bhola,2013,6,35.8,26.7,270.0,85.0,3.9,4.9,4.7
Bhola,2013,7,33.0,26.3,327.0,88.0,2.4,6.1,3.4
Bhola,2013,8,33.5,26.0,477.0,90.0,1.9,5.8,3.1
Bhola,2013,9,35.4,26.0,228.0,88.0,1.3,4.9,3.9
Bhola,2013,10,34.7,24.2,200.0,87.0,1.6,4.4,5.7
Bhola,2013,11,32.3,17.9,0.0,81.0,1.0,1.0,8.4
Bhola,2013,12,31.0,14.2,0.0,83.0,1.3,0.6,6.3
Bogra,2013,1,28.5,10.3,0.0,76.0,2.5,0.9,4.4
Bogra,2013,2,32.5,15.1,22.0,67.0,2.7,1.3,7.4
Bogra,2013,3,35.7,19.9,3.0,63.0,3.3,1.0,7.3
Bogra,2013,4,37.2,22.8,0.0,73.0,0.0,3.3,7.7
Bogra,2013,5,37.4,24.5,152.0,81.0,3.2,6.3,3.1
Bogra,2013,6,37.2,26.9,204.0,79.0,2.7,5.4,4.9
Bogra,2013,7,35.0,26.9,283.0,81.0,3.2,6.0,4.2
Bogra,2013,8,35.8,26.5,256.0,86.0,3.0,6.1,3.1
Bogra,2013,9,36.3,26.5,99.0,81.0,2.4,5.2,4.8
Bogra,2013,10,35.5,23.8,200.0,83.0,2.4,4.5,4.8
Bogra,2013,11,32.3,17.4,0.0,74.0,1.6,0.9,8.1
Bogra,2013,12,30.5,14.1,0.0,79.0,1.7,1.3,4.0
Chandpur,2013,1,28.7,11.7,0.0,78.0,2.5,0.6,5.6
Chandpur,2013,2,32.4,16.0,3.0,71.0,2.7,1.5,7.0
Chandpur,2013,3,35.5,21.3,15.0,71.0,2.1,1.9,7.6
