st,yr,lat,long,rain,rel_hum,cloud,avg_sun,temp
Barisal,2010,22.7,90.36,138.5,82.5,3.8499999999999996,6.3500000000000005,28.1625
Barisal,2011,22.7,90.36,159.08333333333334,82.58333333333333,3.541666666666666,6.133333333333333,27.6625
Barisal,2012,22.7,90.36,134.75,82.91666666666667,3.783333333333333,5.916666666666668,27.858333333333334
Bhola,2010,22.7,90.66,147.66666666666666,83.66666666666667,3.6249999999999996,6.183333333333333,27.987499999999997
Bhola,2011,22.7,90.66,167.91666666666666,83.58333333333333,3.2083333333333335,5.741666666666667,27.425000000000004
Bhola,2012,22.7,90.66,124.41666666666667,83.33333333333333,3.3166666666666664,5.841666666666666,27.520833333333336
Bogra,2010,24.88,89.36,105.91666666666667,76.75,3.441666666666667,5.75,28.283333333333335
Bogra,2011,24.88,89.36,143.41666666666666,77.91666666666667,3.3249999999999997,5.858333333333333,27.641666666666666
Bogra,2012,24.88,89.36,95.0,75.75,3.533333333333333,5.383333333333333,27.88333333333334
Chandpur,2010,23.26,90.67,147.08333333333334,80.33333333333333,4.058333333333333,4.7,28.637499999999996
Chandpur,2011,23.26,90.67,177.33333333333334,80.08333333333333,4.066666666666667,5.425,27.71666666666666
Chandpur,2012,23.26,90.67,146.41666666666666,79.91666666666667,4.033333333333333,5.599999999999999,28.050000000000004
Chittagong (City-Ambagan),2011,22.35,91.8166,260.6666666666667,79.0,3.558333333333333,6.4111306279999996,27.99583333333333
Chittagong (City-Ambagan),2012,22.35,91.8166,272.9166666666667,80.33333333333333,3.766666666666667,6.4111306279999996,28.020833333333336
Chittagong (IAP-Patenga),2010,22.34,91.79,203.08333333333334,79.5,3.6500000000000004,6.716666666666668,27.8125
Chittagong (IAP-Patenga),2011,22.34,91.79,258.4166666666667,78.25,3.5500000000000003,6.7426666666666675,27.224999999999994
Chittagong (IAP-Patenga),2012,22.34,91.79,303.5833333333333,79.83333333333333,3.5499999999999994,6.7426666666666675,27.40416666666666
Chuadanga,2010,23.65,88.81667,129.44444444808332,79.71296296249999,3.125,6.336111111000001,27.962862318333332
Chuadanga,2011,23.65,88.81667,135.16666666666666,80.58333333333333,2.9583333333333326,6.083333333333333,27.554166666666667
Chuadanga,2012,23.65,88.81667,94.83333333333333,78.83333333333333,2.941666666666666,6.066666666666666,28.058333333333334
Comilla,2010,23.48,91.19,131.5,80.66666666666667,3.6666666666666665,6.574999999999999,27.950000000000003
Comilla,2011,23.48,91.19,157.0,80.0,3.4166666666666674,6.483333333333333,27.22083333333333
Comilla,2012,23.48,91.19,160.75,80.66666666666667,3.5749999999999997,6.541666666666667,27.258333333333333
Cox's Bazar,2010,21.46,91.98,286.5,78.33333333333333,3.491666666666667,7.05,28.56666666666667
Cox's Bazar,2011,21.46,91.98,370.0,78.83333333333333,3.4083333333333337,6.516666666666666,27.71666666666667
Cox's Bazar,2012,21.46,91.98,343.5833333333333,78.91666666666667,3.5416666666666665,6.391666666666666,27.950000000000003
Dhaka,2010,23.78,90.39,126.91666666666667,71.0,3.8249999999999997,5.783333333333332,28.53333333333333
Dhaka,2011,23.78,90.39,148.0,71.5,3.516666666666667,5.283333333333334,27.795833333333327
Dhaka,2012,23.78,90.39,110.75,70.75,3.716666666666667,5.158333333333333,28.183333333333334
Dinajpur,2010,25.63,88.66,136.75,77.75,3.625,6.016666666666667,27.525
Dinajpur,2011,25.63,88.66,137.0,78.91666666666667,3.0583333333333336,6.041666666666667,26.837500000000002
Dinajpur,2012,25.63,88.66,125.91666666666667,76.66666666666667,3.3166666666666664,6.108333333333333,26.933333333333337
Faridpur,2010,23.61,89.84,162.58333333333334,78.08333333333333,3.016666666666667,6.608333333333334,28.383333333333333
Faridpur,2011,23.61,89.84,125.75,78.33333333333333,2.9416666666666664,6.3,27.695833333333333
Faridpur,2012,23.61,89.84,106.58333333333333,78.0,2.9500000000000006,6.183333333333334,27.895833333333336
