Station,Year,Avg Max temp,Avg Min temp,Avg Rainfall,Avg Humidity,Avg wind speed,Avg cloud coverage,Averge sunshine
Barisal,2013,33.73333333,21.41666667,193.4166667,82.83333333,2.091666667,3.7,6.175
Bhola,2013,33.80833333,21.45833333,182.8333333,82.5,1.841666667,3.416666667,5.433333333
Bogra,2013,34.49166667,21.225,101.5833333,76.91666667,2.391666667,3.516666667,5.316666667
Chandpur,2013,34.01666667,21.825,212.0833333,80.08333333,2.358333333,3.933333333,5.175
Chittagong (City-Ambagan),2013,34.025,21.71666667,198.25,77.33333333,3.141666667,3.691666667,6.411130628
Chittagong (IAP-Patenga),2013,32.58333333,21.98333333,213.4166667,79.83333333,6.45,3.566666667,6.742666667
Chuadanga,2013,34.93333333,20.26666667,97.08333333,80.41666667,2.05,3.125,5.9
Comilla,2013,33.65,21.25833333,136.9166667,80.16666667,2.2,3.516666667,6.416666667
Cox's Bazar,2013,33.73333333,22.3,338.25,79.16666667,2.975,3.75,6.208333333
Dhaka,2013,34.175,22.19166667,132.5,71.25,2.183333333,3.733333333,5.1
Dinajpur,2013,34.125,20.05833333,152.25,78,1.741666667,3.541666667,5.9
Faridpur,2013,34.34166667,21.375,136.5833333,78.5,2.083333333,3.175,5.9
Feni,2013,33.675,21.1,207.3333333,81.08333333,2.15,3.891666667,5.766666667
Hatiya,2013,33.475,21.41666667,286.3333333,83.16666667,2.108333333,3.741666667,6.091666667
Ishurdi,2013,34.45833333,20.425,94.08333333,78.91666667,2.158333333,3.441666667,6.116666667
Jessore,2013,34.86666667,20.78333333,139.6666667,77.83333333,5.75,2.941666667,5.233333333
Khepupara,2013,33.86666667,21.75,260,80.41666667,3.316666667,3.533333333,6.166666667
Khulna,2013,34.58333333,21.81666667,172,81.66666667,1.791666667,3.583333333,5.95
Kutubdia,2013,32.36666667,21.71666667,350.25,85,1.591666667,3.566666667,6.266666667
Madaripur,2013,34.04166667,21.03333333,179.3333333,81.25,0.375,3.133333333,6.058333333
